record_id,file_path,record_path,record_kind,classification,source_type,data_class,production_status,verification_status,has_source_evidence,has_catalog_manager_disposition,production_access_allowed,reasons,blocking_issues
$.items[0].geometryMeasurements.faceWidthRatio,data/fixtures/test-only/matching/synthetic-catalog.json,$.items[0].geometryMeasurements.faceWidthRatio,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$.items[0].geometryMeasurements.jawWidthRatio,data/fixtures/test-only/matching/synthetic-catalog.json,$.items[0].geometryMeasurements.jawWidthRatio,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$.items[0].geometryMeasurements.mouthWidthRatio,data/fixtures/test-only/matching/synthetic-catalog.json,$.items[0].geometryMeasurements.mouthWidthRatio,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$.items[0].geometryMeasurements.noseWidthRatio,data/fixtures/test-only/matching/synthetic-catalog.json,$.items[0].geometryMeasurements.noseWidthRatio,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$.items[0].humanAnnotations,data/fixtures/test-only/matching/synthetic-catalog.json,$.items[0].humanAnnotations,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$.items[0].navigationInstructions[0],data/fixtures/test-only/matching/synthetic-catalog.json,$.items[0].navigationInstructions[0],fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$.items[0].requiredAngles,data/fixtures/test-only/matching/synthetic-catalog.json,$.items[0].requiredAngles,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
synthetic-match-beta,data/fixtures/test-only/matching/synthetic-catalog.json,$.items[1],catalog_record,TEST_FIXTURE,testFixture,,,verified,true,false,false,sourceType:testFixture;verification:verified,fixtureRecord
$.items[1].catalogVersion,data/fixtures/test-only/matching/synthetic-catalog.json,$.items[1].catalogVersion,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$.items[1].geometryMeasurements,data/fixtures/test-only/matching/synthetic-catalog.json,$.items[1].geometryMeasurements,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$.items[1].geometryMeasurements.eyeSpacingRatio,data/fixtures/test-only/matching/synthetic-catalog.json,$.items[1].geometryMeasurements.eyeSpacingRatio,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$.items[1].geometryMeasurements.faceWidthRatio,data/fixtures/test-only/matching/synthetic-catalog.json,$.items[1].geometryMeasurements.faceWidthRatio,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$.items[1].geometryMeasurements.jawWidthRatio,data/fixtures/test-only/matching/synthetic-catalog.json,$.items[1].geometryMeasurements.jawWidthRatio,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$.items[1].geometryMeasurements.mouthWidthRatio,data/fixtures/test-only/matching/synthetic-catalog.json,$.items[1].geometryMeasurements.mouthWidthRatio,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$.items[1].geometryMeasurements.noseWidthRatio,data/fixtures/test-only/matching/synthetic-catalog.json,$.items[1].geometryMeasurements.noseWidthRatio,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$.items[1].humanAnnotations,data/fixtures/test-only/matching/synthetic-catalog.json,$.items[1].humanAnnotations,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$.items[1].navigationInstructions[0],data/fixtures/test-only/matching/synthetic-catalog.json,$.items[1].navigationInstructions[0],fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$.items[1].requiredAngles,data/fixtures/test-only/matching/synthetic-catalog.json,$.items[1].requiredAngles,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
synthetic-match-gamma,data/fixtures/test-only/matching/synthetic-catalog.json,$.items[2],catalog_record,TEST_FIXTURE,testFixture,,,verified,true,false,false,sourceType:testFixture;verification:verified,fixtureRecord
$.items[2].catalogVersion,data/fixtures/test-only/matching/synthetic-catalog.json,$.items[2].catalogVersion,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$.items[2].geometryMeasurements,data/fixtures/test-only/matching/synthetic-catalog.json,$.items[2].geometryMeasurements,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$.items[2].geometryMeasurements.eyeSpacingRatio,data/fixtures/test-only/matching/synthetic-catalog.json,$.items[2].geometryMeasurements.eyeSpacingRatio,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$.items[2].geometryMeasurements.faceWidthRatio,data/fixtures/test-only/matching/synthetic-catalog.json,$.items[2].geometryMeasurements.faceWidthRatio,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$.items[2].geometryMeasurements.jawWidthRatio,data/fixtures/test-only/matching/synthetic-catalog.json,$.items[2].geometryMeasurements.jawWidthRatio,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$.items[2].geometryMeasurements.mouthWidthRatio,data/fixtures/test-only/matching/synthetic-catalog.json,$.items[2].geometryMeasurements.mouthWidthRatio,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$.items[2].geometryMeasurements.noseWidthRatio,data/fixtures/test-only/matching/synthetic-catalog.json,$.items[2].geometryMeasurements.noseWidthRatio,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$.items[2].humanAnnotations,data/fixtures/test-only/matching/synthetic-catalog.json,$.items[2].humanAnnotations,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$.items[2].navigationInstructions[0],data/fixtures/test-only/matching/synthetic-catalog.json,$.items[2].navigationInstructions[0],fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$.items[2].requiredAngles,data/fixtures/test-only/matching/synthetic-catalog.json,$.items[2].requiredAngles,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$,data/fixtures/test-only/standard-face-profile/legacy-web-mvp-profile-v1.json,$,fixture_record,TEST_FIXTURE,testFixture,,,,false,false,false,sourceType:testFixture,fixtureRecord
$.appearance,data/fixtures/test-only/standard-face-profile/legacy-web-mvp-profile-v1.json,$.appearance,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$.capture,data/fixtures/test-only/standard-face-profile/legacy-web-mvp-profile-v1.json,$.capture,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$.geometry,data/fixtures/test-only/standard-face-profile/legacy-web-mvp-profile-v1.json,$.geometry,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$.geometry.measurements,data/fixtures/test-only/standard-face-profile/legacy-web-mvp-profile-v1.json,$.geometry.measurements,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$.geometry.measurements.faceWidthRatio,data/fixtures/test-only/standard-face-profile/legacy-web-mvp-profile-v1.json,$.geometry.measurements.faceWidthRatio,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$.geometry.measurements.faceWidthRatio.confidence,data/fixtures/test-only/standard-face-profile/legacy-web-mvp-profile-v1.json,$.geometry.measurements.faceWidthRatio.confidence,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$.qualityReport,data/fixtures/test-only/standard-face-profile/legacy-web-mvp-profile-v1.json,$.qualityReport,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$.sourceAngleAvailability,data/fixtures/test-only/standard-face-profile/legacy-web-mvp-profile-v1.json,$.sourceAngleAvailability,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$.sourceAngleAvailability.left45,data/fixtures/test-only/standard-face-profile/legacy-web-mvp-profile-v1.json,$.sourceAngleAvailability.left45,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$.sourceAngleAvailability.leftProfile,data/fixtures/test-only/standard-face-profile/legacy-web-mvp-profile-v1.json,$.sourceAngleAvailability.leftProfile,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$.sourceAngleAvailability.right45,data/fixtures/test-only/standard-face-profile/legacy-web-mvp-profile-v1.json,$.sourceAngleAvailability.right45,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$.sourceAngleAvailability.rightProfile,data/fixtures/test-only/standard-face-profile/legacy-web-mvp-profile-v1.json,$.sourceAngleAvailability.rightProfile,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
$.sourceAngleAvailability.straightOn,data/fixtures/test-only/standard-face-profile/legacy-web-mvp-profile-v1.json,$.sourceAngleAvailability.straightOn,fixture_record,TEST_FIXTURE,,,,,false,false,false,,fixtureRecord
cf27-menu-head-skin-skin-tone,data/phase-zero/additional_attributes_recapture_requirements.research.json,$.items[0].categorySummary,menu_record,UNKNOWN_ORIGIN,,,,,true,false,false,,
cf27-menu-head-skin-skin-details,data/phase-zero/additional_attributes_recapture_requirements.research.json,$.items[1].categorySummary,menu_record,UNKNOWN_ORIGIN,,,,,true,false,false,,
cf27-menu-head-skin-eye-shape,data/phase-zero/additional_attributes_recapture_requirements.research.json,$.items[2].categorySummary,menu_record,UNKNOWN_ORIGIN,,,,,true,false,false,,
cf27-menu-head-skin-eye-color,data/phase-zero/additional_attributes_recapture_requirements.research.json,$.items[3].categorySummary,menu_record,UNKNOWN_ORIGIN,,,,,true,false,false,,
cf27-menu-head-skin-nose,data/phase-zero/additional_attributes_recapture_requirements.research.json,$.items[4].categorySummary,menu_record,UNKNOWN_ORIGIN,,,,,true,false,false,,
cf27-menu-head-skin-ear-shape,data/phase-zero/additional_attributes_recapture_requirements.research.json,$.items[5].categorySummary,menu_record,UNKNOWN_ORIGIN,,,,,true,false,false,,
cf27-menu-head-skin-skin-tone,data/phase-zero/additional_attributes.research.json,$.categories[0],menu_record,UNKNOWN_ORIGIN,,,,,true,false,false,,
cf27-menu-head-skin-skin-details,data/phase-zero/additional_attributes.research.json,$.categories[1],menu_record,UNKNOWN_ORIGIN,,,,,true,false,false,,
cf27-menu-head-skin-eye-shape,data/phase-zero/additional_attributes.research.json,$.categories[2],menu_record,UNKNOWN_ORIGIN,,,,,true,false,false,,
cf27-menu-head-skin-eye-color,data/phase-zero/additional_attributes.research.json,$.categories[3],menu_record,UNKNOWN_ORIGIN,,,,,true,false,false,,
cf27-menu-head-skin-nose,data/phase-zero/additional_attributes.research.json,$.categories[4],menu_record,UNKNOWN_ORIGIN,,,,,true,false,false,,
cf27-menu-head-skin-ear-shape,data/phase-zero/additional_attributes.research.json,$.categories[5],menu_record,UNKNOWN_ORIGIN,,,,,true,false,false,,
cf27-menu-head-skin-mouth-shape,data/phase-zero/additional_attributes.research.json,$.menuOnlyObservedCategories[0],menu_record,RESEARCH_OBSERVED,,,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,true,false,false,verification:OBSERVED_PENDING_VERIFICATION;productionStatus:NOT_PRODUCTION_DATA,
phase0-source-phase0-video-001,data/phase-zero/additional_attributes.research.json,$.menuOnlyObservedCategories[0].sourceEvidence[0],evidence_record,UNKNOWN_ORIGIN,,,,,true,false,false,,
cf27-menu-head-skin-jaw-shape,data/phase-zero/additional_attributes.research.json,$.menuOnlyObservedCategories[1],menu_record,RESEARCH_OBSERVED,,,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,true,false,false,verification:OBSERVED_PENDING_VERIFICATION;productionStatus:NOT_PRODUCTION_DATA,
phase0-source-phase0-video-001,data/phase-zero/additional_attributes.research.json,$.menuOnlyObservedCategories[1].sourceEvidence[0],evidence_record,UNKNOWN_ORIGIN,,,,,true,false,false,,
cf27-menu-head-skin-chin,data/phase-zero/additional_attributes.research.json,$.menuOnlyObservedCategories[2],menu_record,RESEARCH_OBSERVED,,,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,true,false,false,verification:OBSERVED_PENDING_VERIFICATION;productionStatus:NOT_PRODUCTION_DATA,
phase0-source-phase0-video-001,data/phase-zero/additional_attributes.research.json,$.menuOnlyObservedCategories[2].sourceEvidence[0],evidence_record,UNKNOWN_ORIGIN,,,,,true,false,false,,
CF27_XBOXUNKNOWN_RTG_SKINTONE_001,data/phase-zero/additional_attributes.research.json,$.records[0],catalog_record,RESEARCH_OBSERVED,shippingGameVideoResearch,RESEARCH_CANDIDATE,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,true,false,false,sourceType:shippingGameVideoResearch;dataClass:RESEARCH_CANDIDATE;verification:OBSERVED_PENDING_VERIFICATION;productionStatus:NOT_PRODUCTION_DATA,
phase0-frame-video-004-tl-019,data/phase-zero/additional_attributes.research.json,$.records[0].evidenceFrame,evidence_record,UNKNOWN_ORIGIN,,,,,true,false,false,,
phase0-frame-video-004-tl-019,data/phase-zero/additional_attributes.research.json,$.records[0].sourceObservations[0],evidence_record,UNKNOWN_ORIGIN,,,,,true,false,false,,
CF27_XBOXUNKNOWN_RTG_SKINTONE_002,data/phase-zero/additional_attributes.research.json,$.records[1],catalog_record,RESEARCH_OBSERVED,shippingGameVideoResearch,RESEARCH_CANDIDATE,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,true,false,false,sourceType:shippingGameVideoResearch;dataClass:RESEARCH_CANDIDATE;verification:OBSERVED_PENDING_VERIFICATION;productionStatus:NOT_PRODUCTION_DATA,
phase0-frame-video-004-tl-020,data/phase-zero/additional_attributes.research.json,$.records[1].evidenceFrame,evidence_record,UNKNOWN_ORIGIN,,,,,true,false,false,,
phase0-frame-video-004-tl-020,data/phase-zero/additional_attributes.research.json,$.records[1].sourceObservations[0],evidence_record,UNKNOWN_ORIGIN,,,,,true,false,false,,
CF27_XBOXUNKNOWN_RTG_SKINTONE_012,data/phase-zero/additional_attributes.research.json,$.records[10],catalog_record,RESEARCH_OBSERVED,shippingGameVideoResearch,RESEARCH_CANDIDATE,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,true,false,false,sourceType:shippingGameVideoResearch;dataClass:RESEARCH_CANDIDATE;verification:OBSERVED_PENDING_VERIFICATION;productionStatus:NOT_PRODUCTION_DATA,
phase0-frame-video-004-tl-018,data/phase-zero/additional_attributes.research.json,$.records[10].evidenceFrame,evidence_record,UNKNOWN_ORIGIN,,,,,true,false,false,,
phase0-frame-video-004-tl-018,data/phase-zero/additional_attributes.research.json,$.records[10].sourceObservations[0],evidence_record,UNKNOWN_ORIGIN,,,,,true,false,false,,
CF27_XBOXUNKNOWN_RTG_SKINTONE_013,data/phase-zero/additional_attributes.research.json,$.records[11],catalog_record,RESEARCH_OBSERVED,shippingGameVideoResearch,RESEARCH_CANDIDATE,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,true,false,false,sourceType:shippingGameVideoResearch;dataClass:RESEARCH_CANDIDATE;verification:OBSERVED_PENDING_VERIFICATION;productionStatus:NOT_PRODUCTION_DATA,
phase0-frame-video-004-tl-016,data/phase-zero/additional_attributes.research.json,$.records[11].evidenceFrame,evidence_record,UNKNOWN_ORIGIN,,,,,true,false,false,,
phase0-frame-video-004-tl-016,data/phase-zero/additional_attributes.research.json,$.records[11].sourceObservations[0],evidence_record,UNKNOWN_ORIGIN,,,,,true,false,false,,
CF27_XBOXUNKNOWN_RTG_SKINTONE_017,data/phase-zero/additional_attributes.research.json,$.records[12],catalog_record,RESEARCH_OBSERVED,shippingGameVideoResearch,RESEARCH_CANDIDATE,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,true,false,false,sourceType:shippingGameVideoResearch;dataClass:RESEARCH_CANDIDATE;verification:OBSERVED_PENDING_VERIFICATION;productionStatus:NOT_PRODUCTION_DATA,
phase0-frame-video-004-tl-015,data/phase-zero/additional_attributes.research.json,$.records[12].evidenceFrame,evidence_record,UNKNOWN_ORIGIN,,,,,true,false,false,,
phase0-frame-video-004-tl-015,data/phase-zero/additional_attributes.research.json,$.records[12].sourceObservations[0],evidence_record,UNKNOWN_ORIGIN,,,,,true,false,false,,
CF27_XBOXUNKNOWN_RTG_SKINTONE_018,data/phase-zero/additional_attributes.research.json,$.records[13],catalog_record,RESEARCH_OBSERVED,shippingGameVideoResearch,RESEARCH_CANDIDATE,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,true,false,false,sourceType:shippingGameVideoResearch;dataClass:RESEARCH_CANDIDATE;verification:OBSERVED_PENDING_VERIFICATION;productionStatus:NOT_PRODUCTION_DATA,
phase0-frame-video-004-tl-007,data/phase-zero/additional_attributes.research.json,$.records[13].evidenceFrame,evidence_record,UNKNOWN_ORIGIN,,,,,true,false,false,,
phase0-frame-video-004-tl-007,data/phase-zero/additional_attributes.research.json,$.records[13].sourceObservations[0],evidence_record,UNKNOWN_ORIGIN,,,,,true,false,false,,
CF27_XBOXUNKNOWN_RTG_SKINTONE_019,data/phase-zero/additional_attributes.research.json,$.records[14],catalog_record,RESEARCH_OBSERVED,shippingGameVideoResearch,RESEARCH_CANDIDATE,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,true,false,false,sourceType:shippingGameVideoResearch;dataClass:RESEARCH_CANDIDATE;verification:OBSERVED_PENDING_VERIFICATION;productionStatus:NOT_PRODUCTION_DATA,
phase0-frame-video-004-tl-006,data/phase-zero/additional_attributes.research.json,$.records[14].evidenceFrame,evidence_record,UNKNOWN_ORIGIN,,,,,true,false,false,,
phase0-frame-video-004-tl-006,data/phase-zero/additional_attributes.research.json,$.records[14].sourceObservations[0],evidence_record,UNKNOWN_ORIGIN,,,,,true,false,false,,
CF27_XBOXUNKNOWN_RTG_SKINTONE_020,data/phase-zero/additional_attributes.research.json,$.records[15],catalog_record,RESEARCH_OBSERVED,shippingGameVideoResearch,RESEARCH_CANDIDATE,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,true,false,false,sourceType:shippingGameVideoResearch;dataClass:RESEARCH_CANDIDATE;verification:OBSERVED_PENDING_VERIFICATION;productionStatus:NOT_PRODUCTION_DATA,
phase0-frame-video-004-tl-005,data/phase-zero/additional_attributes.research.json,$.records[15].evidenceFrame,evidence_record,UNKNOWN_ORIGIN,,,,,true,false,false,,
phase0-frame-video-004-tl-005,data/phase-zero/additional_attributes.research.json,$.records[15].sourceObservations[0],evidence_record,UNKNOWN_ORIGIN,,,,,true,false,false,,
CF27_XBOXUNKNOWN_RTG_SKINTONE_021,data/phase-zero/additional_attributes.research.json,$.records[16],catalog_record,RESEARCH_OBSERVED,shippingGameVideoResearch,RESEARCH_CANDIDATE,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,true,false,false,sourceType:shippingGameVideoResearch;dataClass:RESEARCH_CANDIDATE;verification:OBSERVED_PENDING_VERIFICATION;productionStatus:NOT_PRODUCTION_DATA,
phase0-frame-video-004-tl-008,data/phase-zero/additional_attributes.research.json,$.records[16].evidenceFrame,evidence_record,UNKNOWN_ORIGIN,,,,,true,false,false,,
phase0-frame-video-004-tl-008,data/phase-zero/additional_attributes.research.json,$.records[16].sourceObservations[0],evidence_record,UNKNOWN_ORIGIN,,,,,true,false,false,,
CF27_XBOXUNKNOWN_RTG_SKINTONE_022,data/phase-zero/additional_attributes.research.json,$.records[17],catalog_record,RESEARCH_OBSERVED,shippingGameVideoResearch,RESEARCH_CANDIDATE,NOT_PRODUCTION_DATA,OBSERVED_PENDING_VERIFICATION,true,false,false,sourceType:shippingGameVideoResearch;dataClass:RESEARCH_CANDIDATE;verification:OBSERVED_PENDING_VERIFICATION;productionStatus:NOT_PRODUCTION_DATA,
phase0-frame-video-004-tl-014,data/phase-zero/additional_attributes.research.json,$.records[17].evidenceFrame,evidence_record,UNKNOWN_ORIGIN,,,,,true,false,false,,
